competition_id,competition_name,league,season_id,season_name,season,match_id,start_time,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48330011,2024-03-10T15:00:00+00:00,sr:competitor:940129,FB Hurrican Karlovy Vary,sr:competitor:1033945,Buchis,5,0
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:47623665,2024-03-10T15:00:00+00:00,sr:competitor:4142,AIK Innebandy,sr:competitor:118114,FBC Kalmarsund,4,13
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:47623663,2024-03-10T15:00:00+00:00,sr:competitor:118116,Thorengruppen SK,sr:competitor:4138,Pixbo Wallenstam,6,8
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:47623667,2024-03-10T15:30:00+00:00,sr:competitor:34558,Vaxjo IBK,sr:competitor:4143,Jonkopings IK,7,2
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:47623669,2024-03-10T16:00:00+00:00,sr:competitor:610450,Nykvarns IBF Ungdom,sr:competitor:24122,Mullsjo AIS,3,8
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48285863,2024-03-10T17:00:00+00:00,sr:competitor:630970,Black Angels Prague,sr:competitor:44611,Sokoli Pardubice,3,1
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466941,2024-03-12T16:30:00+00:00,sr:competitor:37852,1. SC Vitkovice Ostrava,sr:competitor:44610,FbS Bohemians Prague,1,3
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466939,2024-03-12T17:30:00+00:00,sr:competitor:44609,Florbal Mlada Boleslav,sr:competitor:44607,FBC Liberec,10,1
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466943,2024-03-12T18:00:00+00:00,sr:competitor:44614,Florbal Chodov,sr:competitor:44604,Sparta Prague,8,4
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466937,2024-03-12T18:30:00+00:00,sr:competitor:25902,Tatran Stresovice,sr:competitor:331853,FBC Ceska Lipa,11,4
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537047,2024-03-13T16:30:00+00:00,sr:competitor:4159,Oilers Espoo,sr:competitor:282983,LASB Lahti,13,2
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466949,2024-03-13T16:30:00+00:00,sr:competitor:37852,1. SC Vitkovice Ostrava,sr:competitor:44610,FbS Bohemians Prague,6,1
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466947,2024-03-13T17:00:00+00:00,sr:competitor:44609,Florbal Mlada Boleslav,sr:competitor:44607,FBC Liberec,9,8
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466951,2024-03-13T18:00:00+00:00,sr:competitor:44614,Florbal Chodov,sr:competitor:44604,Sparta Prague,4,2
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466945,2024-03-13T18:00:00+00:00,sr:competitor:25902,Tatran Stresovice,sr:competitor:331853,FBC Ceska Lipa,7,3
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537055,2024-03-15T16:30:00+00:00,sr:competitor:25241,Nokian KRP,sr:competitor:6584,SPV,6,2
