competition_id,competition_name,league,season_id,season_name,season,match_id,start_time,home_team_id,home_team_name,away_team_id,away_team_name,home_rank,away_rank,rank_diff,home_table_points,away_table_points,table_points_diff,home_played,away_played,home_goal_diff,away_goal_diff,goal_diff_diff,home_form_last5,away_form_last5,form_diff_last5,home_goals_for_avg_last5,home_goals_against_avg_last5,away_goals_for_avg_last5,away_goals_against_avg_last5,home_home_form_last5,away_away_form_last5,target_result,target_home_win,home_score_final,away_score_final,season_norm,roster_prev_season,home_roster_strength,away_roster_strength,roster_strength_diff
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356497,2023-09-08T17:00:00+00:00,sr:competitor:25902,Tatran Stresovice,sr:competitor:44610,FbS Bohemians Prague,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away_win,0,3,4,2023-2024,2022-2023,,197.8203076923077,
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356559,2023-09-10T12:00:00+00:00,sr:competitor:1033945,Buchis,sr:competitor:37852,1. SC Vitkovice Ostrava,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away_win,0,3,12,2023-2024,2022-2023,,197.77530769230768,
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356557,2023-09-10T15:00:00+00:00,sr:competitor:940129,FB Hurrican Karlovy Vary,sr:competitor:44608,FBC Ostrava,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away_win,0,4,5,2023-2024,2022-2023,84.13671328671327,134.34259149546105,-50.20587820874778
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356563,2023-09-10T15:00:00+00:00,sr:competitor:44604,Sparta Prague,sr:competitor:44614,Florbal Chodov,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away_win,0,6,11,2023-2024,2022-2023,139.26107692307693,172.93434065934065,-33.67326373626372
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356561,2023-09-10T16:00:00+00:00,sr:competitor:630970,Black Angels Prague,sr:competitor:44611,Sokoli Pardubice,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away_win,0,3,5,2023-2024,2022-2023,148.42176923076923,108.59916746411484,39.82260176665439
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356501,2023-09-10T16:30:00+00:00,sr:competitor:44607,FBC Liberec,sr:competitor:173258,Sokol Kral Vinohrady,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home_win,1,11,2,2023-2024,2022-2023,129.17692307692306,107.96294792164358,21.213975155279485
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356499,2023-09-12T08:00:00+00:00,sr:competitor:44609,Florbal Mlada Boleslav,sr:competitor:331853,FBC Ceska Lipa,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home_win,1,15,3,2023-2024,2022-2023,165.27208695652172,140.3943110367893,24.877775919732414
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356575,2023-09-12T17:30:00+00:00,sr:competitor:173258,Sokol Kral Vinohrady,sr:competitor:25902,Tatran Stresovice,13,9,-4,0,0,0,1,1,-9,-1,-8,0.0,0.0,0.0,2.0,11.0,3.0,4.0,0.0,0.0,away_win,0,4,5,2023-2024,2022-2023,107.96294792164358,,
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:42343751,2023-09-15T15:30:00+00:00,sr:competitor:4158,Happee Jyvaskyla,sr:competitor:282983,LASB Lahti,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away_win,0,4,5,2023-2024,2022-2023,157.5568831168831,81.62211990595611,75.934763210927
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356565,2023-09-15T17:00:00+00:00,sr:competitor:331853,FBC Ceska Lipa,sr:competitor:44614,Florbal Chodov,14,4,-10,0,3,-3,1,1,-12,5,-17,0.0,3.0,-3.0,3.0,15.0,11.0,6.0,0.0,3.0,away_win,0,7,10,2023-2024,2022-2023,140.3943110367893,172.93434065934065,-32.540029622551344
sr:competition:255,Svenska Superligan,sweden,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:42451629,2023-09-15T17:00:00+00:00,sr:competitor:4143,Jonkopings IK,sr:competitor:4138,Pixbo Wallenstam,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away_win,0,5,8,2023-2024,2022-2023,137.75830769230768,168.7760859140859,-31.01777822177823
sr:competition:255,Svenska Superligan,sweden,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:42451631,2023-09-15T17:00:00+00:00,sr:competitor:4142,AIK Innebandy,sr:competitor:41254,Linkoping IBK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away_win,0,2,6,2023-2024,2022-2023,137.90596655518394,155.30446153846154,-17.3984949832776
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356567,2023-09-16T11:00:00+00:00,sr:competitor:44611,Sokoli Pardubice,sr:competitor:44604,Sparta Prague,5,11,6,3,0,3,1,1,2,-5,7,3.0,0.0,3.0,5.0,3.0,6.0,11.0,0.0,0.0,away_win,0,4,11,2023-2024,2022-2023,108.59916746411484,139.26107692307693,-30.661909458962086
sr:competition:255,Svenska Superligan,sweden,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:42451633,2023-09-16T14:00:00+00:00,sr:competitor:118114,FBC Kalmarsund,sr:competitor:375152,Hagunda IF,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home_win,1,12,5,2023-2024,2022-2023,138.14572352285396,123.08384615384615,15.061877369007803
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356569,2023-09-16T14:00:00+00:00,sr:competitor:37852,1. SC Vitkovice Ostrava,sr:competitor:630970,Black Angels Prague,3,11,8,3,0,3,1,1,9,-2,11,3.0,0.0,3.0,12.0,3.0,3.0,5.0,0.0,0.0,home_win,1,6,1,2023-2024,2022-2023,197.77530769230768,148.42176923076923,49.35353846153845
sr:competition:255,Svenska Superligan,sweden,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:42451635,2023-09-16T14:00:00+00:00,sr:competitor:5745,IBF Falun,sr:competitor:610450,Nykvarns IBF Ungdom,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home_win,1,7,5,2023-2024,2022-2023,192.0868260869565,,
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:42343753,2023-09-16T14:00:00+00:00,sr:competitor:4161,SC Classic Tampere,sr:competitor:65930,Westend Indians,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away_win,0,2,9,2023-2024,2022-2023,123.75691699604742,125.07296851574212,-1.316051519694696
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:42343755,2023-09-16T14:00:00+00:00,sr:competitor:6584,SPV,sr:competitor:7984,TPS Turku,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home_win,1,8,5,2023-2024,2022-2023,121.15511363636362,110.4778432601881,10.677270376175528
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:42343757,2023-09-16T15:00:00+00:00,sr:competitor:4165,OLS Oulu,sr:competitor:25241,Nokian KRP,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away_win,0,5,11,2023-2024,2022-2023,109.79741935483872,169.30794721407625,-59.51052785923753
sr:competition:255,Svenska Superligan,sweden,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:42451637,2023-09-16T16:00:00+00:00,sr:competitor:34558,Vaxjo IBK,sr:competitor:24122,Mullsjo AIS,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home_win,1,6,5,2023-2024,2022-2023,170.55676588628762,141.41000000000005,29.146765886287568
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356577,2023-09-16T17:00:00+00:00,sr:competitor:44609,Florbal Mlada Boleslav,sr:competitor:44607,FBC Liberec,3,4,1,3,3,0,1,1,12,9,3,3.0,3.0,0.0,15.0,3.0,11.0,2.0,3.0,0.0,home_win,1,15,3,2023-2024,2022-2023,165.27208695652172,129.17692307692306,36.09516387959866
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:42343759,2023-09-17T14:00:00+00:00,sr:competitor:322573,Nurmon Jymy,sr:competitor:940309,FBC Turku,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home_win,1,5,3,2023-2024,2022-2023,112.17115102639296,64.15576298701298,48.015388039379985
