league,season,team_name,roster_player_count,team_total_points,team_total_goals,top3_points_sum,top5_points_sum,top3_goals_sum,top5_goals_sum,top3_points_share,top5_points_share,depth_10plus,depth_20plus,avg_top5_ppg,roster_strength,roster_strength_rank
sweden,2025-2026,FBC Kalmarsund,23,256.0,136.0,130.0,183.0,67.0,102.0,0.5078125,0.71484375,8,5,1.4515585284280939,140.7046755852843,5.0
sweden,2025-2026,Jonkopings IK,23,271.0,143.0,124.0,170.0,66.0,95.0,0.4575645756457565,0.6273062730627307,9,6,1.3655944055944056,138.6467832167832,6.0
sweden,2025-2026,Linkoping IBK,20,286.0,151.0,106.0,157.0,60.0,80.0,0.3706293706293706,0.548951048951049,10,7,1.2335897435897436,132.85076923076923,7.0
sweden,2025-2026,Strangnas IBK,28,231.0,119.0,130.0,177.0,68.0,98.0,0.5627705627705628,0.7662337662337663,5,5,1.530075721380069,132.2402271641402,8.0
sweden,2025-2026,Nykvarns IBF Ungdom,27,281.0,150.0,114.0,159.0,48.0,71.0,0.40569395017793597,0.5658362989323843,12,4,1.252102564102564,128.8563076923077,9.0
sweden,2025-2026,Hovslatts IK,24,257.0,136.0,88.0,136.0,48.0,67.0,0.3424124513618677,0.5291828793774319,12,6,1.1882095875139354,120.81462876254179,10.0
sweden,2025-2026,Visby IBK,26,254.0,134.0,92.0,138.0,45.0,75.0,0.36220472440944884,0.5433070866141733,11,5,1.1668524712002974,118.45055741360089,11.0
sweden,2025-2026,Warberg IC,22,210.0,112.0,101.0,142.0,69.0,86.0,0.48095238095238096,0.6761904761904762,9,4,1.1123076923076922,116.13692307692308,12.0
sweden,2025-2026,Pixbo Wallenstam,24,236.0,122.0,97.0,138.0,50.0,71.0,0.4110169491525424,0.5847457627118644,9,5,1.151839464882943,114.80551839464884,13.0
sweden,2025-2026,AIK Innebandy,28,222.0,119.0,109.0,149.0,70.0,86.0,0.49099099099099097,0.6711711711711712,6,4,1.2708993135011442,114.66269794050343,14.0
