source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
extraliga,czech,2023-2024,Tatran Stresovice,Martin Mühlfait,24,5,5,10,14.0,,25.0
extraliga,czech,2023-2024,Tatran Stresovice,Ondřej Sádlo,24,5,4,9,24.0,,15.0
extraliga,czech,2023-2024,Tatran Stresovice,Filip Eliáš,23,3,6,9,16.0,,27.0
extraliga,czech,2023-2024,Tatran Stresovice,Pavel Sládeček,24,2,7,9,12.0,,30.0
extraliga,czech,2023-2024,Tatran Stresovice,Martin Kisugite,11,2,3,5,11.0,,17.0
extraliga,czech,2023-2024,Tatran Stresovice,Martin Čermák,12,2,2,4,11.0,,10.0
extraliga,czech,2023-2024,Tatran Stresovice,Adam Bureš,7,0,1,1,3.0,,2.0
extraliga,czech,2023-2024,Tatran Stresovice,Kryštof Klement,4,0,0,0,1.0,,1.0
extraliga,czech,2023-2024,Tatran Stresovice,Jakub Klápa,2,0,0,0,0.0,,0.0
extraliga,czech,2023-2024,Tatran Stresovice,Tomáš Macháček,4,0,0,0,0.0,,-1.0
extraliga,czech,2023-2024,Tatran Stresovice,Michal Antonín Malhocký,3,0,0,0,1.0,,3.0
extraliga,czech,2023-2024,Tatran Stresovice,Daniel Péc,4,0,0,0,0.0,,-1.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Radek Krajcigr,26,28,12,40,90.0,,12.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Ladislav Pekárek,26,18,17,35,76.0,,8.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Radim Křenek,25,6,27,33,31.0,,5.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Daniel Štěrba,26,12,20,32,47.0,,-1.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Václav Vavruška,26,20,9,29,88.0,,-20.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Tomáš Pšenička,25,18,7,25,50.0,,-19.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Vladimír Trčka,24,7,15,22,31.0,,-19.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Jakub Seibert,19,12,6,18,47.0,,3.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Ondřej Kopič,26,8,9,17,44.0,,-2.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Štěpán Slaný,25,12,4,16,29.0,,-12.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Antonín Stárek,25,1,3,4,8.0,,-20.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Filip Šedivý,24,1,3,4,7.0,,-24.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Marek Dzierža,24,2,1,3,9.0,,-14.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Albert Kouba,19,2,1,3,8.0,,-16.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Lukáš Mlejnek,26,1,1,2,16.0,,-29.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Jakub Jirsa,26,0,2,2,6.0,,-28.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Filip Cobl,6,0,0,0,0.0,,-2.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Daniel Kellermann,14,0,0,0,3.0,,-21.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Jakub Knespl,1,0,0,0,0.0,,0.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Kryštof Loubek,3,0,0,0,1.0,,0.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Petr Slánský,3,0,0,0,0.0,,-3.0
extraliga,czech,2023-2024,FBC Ceska Lipa,Jiří Vlček,3,0,0,0,0.0,,-3.0
extraliga,czech,2023-2024,Sokoli Pardubice,Radek Drba,26,17,9,26,82.0,,-40.0
extraliga,czech,2023-2024,Sokoli Pardubice,Ralfs Polis,24,14,12,26,48.0,,-48.0
extraliga,czech,2023-2024,Sokoli Pardubice,David Žáček,26,9,11,20,46.0,,-34.0
extraliga,czech,2023-2024,Sokoli Pardubice,Přemek Pakosta,22,8,6,14,45.0,,-44.0
extraliga,czech,2023-2024,Sokoli Pardubice,Ondřej Hurt,26,8,4,12,37.0,,-47.0
extraliga,czech,2023-2024,Sokoli Pardubice,Petr Křinka,26,8,4,12,39.0,,-39.0
extraliga,czech,2023-2024,Sokoli Pardubice,Vojtěch Kaluža,25,6,5,11,31.0,,-31.0
extraliga,czech,2023-2024,Sokoli Pardubice,Milan Bína,18,5,5,10,23.0,,-20.0
extraliga,czech,2023-2024,Sokoli Pardubice,Lukáš Prix,26,4,6,10,29.0,,-56.0
extraliga,czech,2023-2024,Sokoli Pardubice,Petr Zajíček,14,5,4,9,15.0,,-9.0
extraliga,czech,2023-2024,Sokoli Pardubice,Marek Viterna,21,3,6,9,6.0,,-17.0
extraliga,czech,2023-2024,Sokoli Pardubice,Maxmilián Škoda,26,4,3,7,13.0,,-35.0
extraliga,czech,2023-2024,Sokoli Pardubice,Jan Nezval,25,1,5,6,11.0,,-37.0
extraliga,czech,2023-2024,Sokoli Pardubice,Marek Ďopan,18,2,3,5,4.0,,-19.0
extraliga,czech,2023-2024,Sokoli Pardubice,Jakub Šimák,24,2,1,3,13.0,,-44.0
extraliga,czech,2023-2024,Sokoli Pardubice,Ondřej Machatý,18,2,0,2,16.0,,-18.0
extraliga,czech,2023-2024,Sokoli Pardubice,Jan Savický,5,1,1,2,6.0,,-2.0
extraliga,czech,2023-2024,Sokoli Pardubice,Vojtěch Král,5,1,0,1,2.0,,1.0
extraliga,czech,2023-2024,Sokoli Pardubice,Vojtěch Klein,12,0,1,1,4.0,,-10.0
extraliga,czech,2023-2024,Sokoli Pardubice,Michal Puchner,13,0,1,1,4.0,,-18.0
extraliga,czech,2023-2024,Sokoli Pardubice,Michael Smola,10,0,1,1,5.0,,-16.0
extraliga,czech,2023-2024,Sokoli Pardubice,Lukáš Drahný,12,0,0,0,4.0,,-7.0
extraliga,czech,2023-2024,Sokoli Pardubice,Matyáš Vašíček,3,0,0,0,0.0,,-4.0
extraliga,czech,2023-2024,Sokoli Pardubice,Petr Černý,10,0,0,0,9.0,,-9.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Michal Klápa,26,22,21,43,98.0,,-20.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Michal Strachota,23,11,22,33,58.0,,-18.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Daniel Péc,20,17,7,24,52.0,,-14.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Marek Hozman,20,16,7,23,65.0,,-17.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Jiří Lebeda,24,16,6,22,41.0,,-11.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Lukáš Macháček,25,5,13,18,42.0,,-28.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Vít Hrbáček,26,9,6,15,31.0,,-13.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Matěj Korbel,26,8,7,15,22.0,,-16.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Adam Zahraj,25,6,5,11,21.0,,-13.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Vojtěch Kún,13,3,7,10,25.0,,-12.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Tomáš Rosa,22,2,6,8,9.0,,-9.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Miloš Tyl,6,5,2,7,21.0,,7.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Matěj Švarc,22,4,3,7,16.0,,-26.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Šimon Šmajda,24,3,4,7,11.0,,-18.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Martin Fenik,7,3,3,6,14.0,,-7.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Jan Pícha,24,4,1,5,17.0,,-10.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Matěj Svatek,24,1,3,4,11.0,,-14.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Tomáš Smolka,22,2,0,2,4.0,,-15.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Lukáš Staněk,21,1,1,2,6.0,,-7.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Jiří Šťovíček,19,1,0,1,5.0,,-13.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Petr Brautferger,3,0,0,0,2.0,,0.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Luděk Lejba,11,0,0,0,0.0,,0.0
