competition_id,league,season,home_rank,away_rank,rank_diff,home_table_points,away_table_points,table_points_diff,home_played,away_played,home_goal_diff,away_goal_diff,goal_diff_diff,home_form_last5,away_form_last5,form_diff_last5,home_goals_for_avg_last5,home_goals_against_avg_last5,away_goals_for_avg_last5,away_goals_against_avg_last5,home_home_form_last5,away_away_form_last5,season_norm,roster_prev_season,home_roster_strength,away_roster_strength,roster_strength_diff,target_home_win
sr:competition:255,sweden,Svenska Superligan 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,169.12153846153848,136.64397993311036,32.47755852842812,1
sr:competition:306,finland,F-Liiga 23/24,2,5,3,3,3,0,1,1,6,1,5,3.0,3.0,0.0,11.0,5.0,7.0,6.0,0.0,0.0,2023-2024,2022-2023,169.30794721407625,38.00846394984326,131.299483264233,0
sr:competition:306,finland,F-Liiga 23/24,10,12,2,0,0,0,1,1,-3,-7,4,0.0,0.0,0.0,5.0,8.0,2.0,9.0,0.0,0.0,2023-2024,2022-2023,110.4778432601881,123.75691699604742,-13.279073735859328,0
sr:competition:306,finland,F-Liiga 23/24,5,9,4,3,0,3,1,1,2,-1,3,3.0,0.0,3.0,5.0,3.0,4.0,5.0,3.0,0.0,2023-2024,2022-2023,112.17115102639296,157.5568831168831,-45.38573209049015,1
sr:competition:255,sweden,Svenska Superligan 23/24,10,7,-3,0,3,-3,1,1,-2,1,-3,0.0,3.0,-3.0,5.0,7.0,6.0,5.0,0.0,0.0,2023-2024,2022-2023,,169.12153846153848,,0
sr:competition:829,czech,Extraliga 23/24,6,10,4,3,0,3,1,1,1,-1,2,3.0,0.0,3.0,4.0,3.0,4.0,5.0,0.0,0.0,2023-2024,2022-2023,197.8203076923077,84.13671328671327,113.68359440559442,1
sr:competition:829,czech,Extraliga 23/24,8,14,6,3,0,3,2,2,-3,-15,12,1.5,0.0,1.5,7.0,8.5,5.0,12.5,3.0,0.0,2023-2024,2022-2023,129.17692307692306,140.3943110367893,-11.217387959866244,1
sr:competition:306,finland,F-Liiga 23/24,4,8,4,3,0,3,2,1,3,-1,4,1.5,0.0,1.5,9.5,8.0,6.0,7.0,0.0,0.0,2023-2024,2022-2023,169.30794721407625,34.95909090909091,134.34885630498533,1
sr:competition:306,finland,F-Liiga 23/24,4,5,1,3,3,0,1,1,7,3,4,3.0,3.0,0.0,9.0,2.0,8.0,5.0,0.0,0.0,2023-2024,2022-2023,125.07296851574212,121.15511363636362,3.9178548793784955,1
sr:competition:306,finland,F-Liiga 23/24,10,8,-2,0,0,0,2,1,-6,-2,-4,0.0,0.0,0.0,4.0,7.0,3.0,5.0,0.0,0.0,2023-2024,2022-2023,157.5568831168831,64.15576298701298,93.40112012987014,1
sr:competition:255,sweden,Svenska Superligan 23/24,8,11,3,0,0,0,1,1,-1,-4,3,0.0,0.0,0.0,5.0,6.0,2.0,6.0,0.0,0.0,2023-2024,2022-2023,136.64397993311036,137.90596655518394,-1.2619866220735787,1
sr:competition:306,finland,F-Liiga 23/24,4,10,6,6,0,6,2,1,4,-6,10,3.0,0.0,3.0,9.0,7.0,5.0,11.0,3.0,0.0,2023-2024,2022-2023,38.00846394984326,109.79741935483872,-71.78895540499546,1
sr:competition:306,finland,F-Liiga 23/24,8,5,-3,3,3,0,2,2,-5,2,-7,1.5,1.5,0.0,3.5,6.0,6.5,5.5,0.0,0.0,2023-2024,2022-2023,123.75691699604742,121.15511363636362,2.6018033596837995,1
sr:competition:255,sweden,Svenska Superligan 23/24,5,6,1,3,3,0,1,1,3,2,1,3.0,3.0,0.0,8.0,5.0,7.0,5.0,0.0,0.0,2023-2024,2022-2023,168.7760859140859,192.0868260869565,-23.310740172870595,0
sr:competition:829,czech,Extraliga 23/24,11,5,-6,0,6,-6,2,2,-7,3,-10,0.0,3.0,-3.0,2.0,5.5,5.5,4.0,0.0,3.0,2023-2024,2022-2023,148.42176923076923,134.34259149546105,14.079177735308178,1
sr:competition:255,sweden,Svenska Superligan 23/24,5,10,5,3,0,3,1,1,4,-3,7,3.0,0.0,3.0,6.0,2.0,5.0,8.0,0.0,0.0,2023-2024,2022-2023,155.30446153846154,137.75830769230768,17.546153846153857,1
sr:competition:829,czech,Extraliga 23/24,3,9,6,6,3,3,2,2,8,-5,13,3.0,1.5,1.5,10.5,6.5,4.5,7.0,0.0,3.0,2023-2024,2022-2023,172.93434065934065,108.59916746411484,64.3351731952258,1
sr:competition:306,finland,F-Liiga 23/24,10,12,2,0,0,0,2,2,-8,-13,5,0.0,0.0,0.0,4.0,8.0,4.0,10.5,0.0,0.0,2023-2024,2022-2023,34.95909090909091,109.79741935483872,-74.8383284457478,0
sr:competition:255,sweden,Svenska Superligan 23/24,9,4,-5,0,3,-3,1,1,-1,7,-8,0.0,3.0,-3.0,5.0,6.0,12.0,5.0,0.0,0.0,2023-2024,2022-2023,141.41000000000005,138.14572352285396,3.2642764771460975,1
sr:competition:829,czech,Extraliga 23/24,11,12,1,0,0,0,2,2,-6,-10,4,0.0,0.0,0.0,6.5,9.5,3.0,8.0,0.0,0.0,2023-2024,2022-2023,84.13671328671327,107.96294792164358,-23.8262346349303,0
