source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Mikuláš Komárek,23,29,19,48,109,,28
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Marek Vávra,23,28,20,48,89,,26
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Antonín Votava,20,31,11,42,106,,24
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Tomáš Sýkora,25,5,25,30,27,,20
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Ondřej Štefek,23,7,13,20,43,,-9
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Vojtěch Petráň,25,14,3,17,64,,-16
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,David Horký,26,11,6,17,34,,-10
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Marek Matoušek,22,6,8,14,26,,4
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Matěj Jambor,22,8,5,13,40,,-6
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Vojtěch Bagin,22,3,7,10,17,,-2
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,David Špaček,23,3,6,9,21,,-15
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Milan Tichý,24,2,7,9,24,,-11
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Erik Papež,20,4,4,8,24,,-7
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Filip Kovářík,23,3,4,7,29,,2
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Lukáš Kafka,19,3,2,5,5,,-8
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Marek Šmíd,20,3,1,4,14,,13
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Daniel Eremiáš,13,2,0,2,14,,-4
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Elliot Festa,25,1,1,2,6,,-15
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Vojtěch Klápa,6,1,0,1,4,,-6
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Matěj Bezpalec,1,0,0,0,0,,0
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Martin Bohumský,1,0,0,0,0,,1
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Patrik Fialka,1,0,0,0,1,,1
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Tomáš Josefovič,18,0,0,0,1,,-1
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Tomáš Koptiš,1,0,0,0,0,,1
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Adam Sláma,13,0,0,0,1,,0
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Matyáš Vašíček,7,0,0,0,2,,-3
ceskyflorbal,czech,2024/2025,FAT PIPE FLORBAL CHODOV,Filip Šimek,5,0,0,0,0,,0
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Jakub Hromada,23,17,8,25,62,,-17
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Jakub Renčín,19,8,12,20,41,,-5
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Matouš Burian,21,12,6,18,67,,-10
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Martin Obuškevič,25,6,8,14,51,,-8
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Daniel Ludvík,21,5,9,14,20,,-5
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Vilém Doležal,23,9,4,13,51,,-8
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Tomáš Vinkler,23,7,4,11,28,,-30
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,David Žáček,22,7,4,11,31,,-8
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Adam Štyler,25,6,5,11,43,,-17
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Tomáš Čáslava,25,5,6,11,27,,-14
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Filip Neklan,22,4,5,9,24,,-8
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Matěj Boček,23,5,3,8,23,,-27
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Ondřej Kroužek,25,4,3,7,8,,-17
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Jakub Šimák,26,5,1,6,13,,-16
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Marek Fryš,24,2,4,6,19,,-12
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Vojtěch Novotný,26,2,3,5,17,,-23
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Lukáš Procházka,18,2,1,3,12,,-12
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Matyáš Sirotek,11,1,2,3,4,,-8
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Jan Kopecký,10,1,1,2,4,,0
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Vít Komorný,8,1,0,1,2,,-2
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Petr Křinka,2,1,0,1,2,,0
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Jan Bauman,21,0,1,1,4,,-16
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Matěj Budínský,1,0,0,0,0,,-2
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Vojtěch Koštialik,1,0,0,0,0,,0
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Matěj Lubas,2,0,0,0,0,,-1
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Matyáš Oliva,3,0,0,0,0,,-1
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Daniel Pravec,4,0,0,0,0,,0
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Michal Rada,1,0,0,0,0,,-1
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Slavomír Trepera,3,0,0,0,0,,-4
ceskyflorbal,czech,2024/2025,BA SOKOLI Pardubice,Matěj Švadlenka,5,0,0,0,1,,-1
ceskyflorbal,czech,2024/2025,FBC 4CLEAN Česká Lípa,Jakub Bína,26,28,21,49,102,,15
ceskyflorbal,czech,2024/2025,FBC 4CLEAN Česká Lípa,Radek Krajcigr,25,32,13,45,72,,12
ceskyflorbal,czech,2024/2025,FBC 4CLEAN Česká Lípa,Ladislav Pekárek,24,18,19,37,67,,9
ceskyflorbal,czech,2024/2025,FBC 4CLEAN Česká Lípa,Václav Vavruška,26,19,10,29,70,,-14
ceskyflorbal,czech,2024/2025,FBC 4CLEAN Česká Lípa,Daniel Štěrba,26,9,17,26,62,,-10
ceskyflorbal,czech,2024/2025,FBC 4CLEAN Česká Lípa,Tomáš Pšenička,26,8,11,19,29,,-19
ceskyflorbal,czech,2024/2025,FBC 4CLEAN Česká Lípa,Radim Křenek,24,5,13,18,25,,17
ceskyflorbal,czech,2024/2025,FBC 4CLEAN Česká Lípa,Antonín Stárek,26,6,11,17,52,,11
ceskyflorbal,czech,2024/2025,FBC 4CLEAN Česká Lípa,Albert Kouba,18,6,2,8,20,,-3
