source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
ssl,sweden,2024/2025,FBC Kalmarsund,Anton Willsund,26,10,9,19,,0,
ssl,sweden,2024/2025,Pixbo IBK,Victor Johansson,26,10,9,19,,0,
ssl,sweden,2024/2025,Pixbo IBK,Filip Wramdemark,26,11,7,18,,22,
ssl,sweden,2024/2025,Storvreta IBK,Hampus Nydenfeldt,26,10,8,18,,0,
ssl,sweden,2024/2025,Jönköpings IK,Filip Smutny,25,10,8,18,,4,
ssl,sweden,2024/2025,IBK Dalen,Fredrik Edholm,20,10,8,18,,4,
ssl,sweden,2024/2025,IBF Falun,Jonathan Berglund,24,9,9,18,,0,
ssl,sweden,2024/2025,Växjö Vipers,Filip Stjernberg,24,9,9,18,,10,
ssl,sweden,2024/2025,AIK IBF,Helmer Hernegran,20,8,10,18,,4,
ssl,sweden,2024/2025,FC Helsingborg,Fredi Petersson,26,8,10,18,,24,
ssl,sweden,2024/2025,Team Thorengruppen SK,Noël Seiler,26,5,13,18,,6,
ssl,sweden,2024/2025,IBF Falun,Emil Kalentun,23,8,9,17,,10,
ssl,sweden,2024/2025,Mullsjö AIS,Arvid Wibring Lindqvist,25,8,9,17,,12,
ssl,sweden,2024/2025,Team Thorengruppen SK,Matteus Gavatin,24,12,4,16,,0,
ssl,sweden,2024/2025,Warberg IC,Morics Krumins,26,11,5,16,,6,
ssl,sweden,2024/2025,IBF Falun,Emil Nilsen,26,7,9,16,,8,
ssl,sweden,2024/2025,Linköping IBK,Philip Fox,25,11,4,15,,2,
ssl,sweden,2024/2025,AIK IBF,Axel Larson,26,7,8,15,,2,
ssl,sweden,2024/2025,FBC Kalmarsund,Tim Nyander,26,4,11,15,,6,
ssl,sweden,2024/2025,AIK IBF,Alex Indriana Kjellbris,15,4,11,15,,10,
ssl,sweden,2024/2025,AIK IBF,Linus Hellqvist,25,7,7,14,,6,
ssl,sweden,2024/2025,Warberg IC,Andreas Grönli,26,5,9,14,,8,
ssl,sweden,2024/2025,Team Thorengruppen SK,Måns Höglin,25,4,10,14,,30,
ssl,sweden,2024/2025,Mullsjö AIS,Joachim Trandum Terjesen,25,10,3,13,,4,
ssl,sweden,2024/2025,IBK Dalen,Felix Forslund,25,9,4,13,,2,
ssl,sweden,2024/2025,Nykvarns IBF,Karljohan Ahlroth,26,9,4,13,,2,
ssl,sweden,2024/2025,AIK IBF,Markus Eriksson,23,8,5,13,,2,
ssl,sweden,2024/2025,Linköping IBK,Matej Jendrisak,23,7,6,13,,6,
ssl,sweden,2024/2025,Team Thorengruppen SK,August Bergkvist,26,6,7,13,,0,
ssl,sweden,2024/2025,IBF Falun,Casper Backby,23,6,7,13,,6,
ssl,sweden,2024/2025,Mullsjö AIS,Anton Hedin,24,5,8,13,,10,
ssl,sweden,2024/2025,Storvreta IBK,Viktor Nystedt,26,4,9,13,,2,
ssl,sweden,2024/2025,Växjö Vipers,Victor Hansson,25,7,5,12,,6,
ssl,sweden,2024/2025,Växjö Vipers,Michal Dodovic,17,6,6,12,,0,
ssl,sweden,2024/2025,Växjö Vipers,Anton Kidell,25,6,6,12,,2,
ssl,sweden,2024/2025,Storvreta IBK,Oscar Magnusson,26,6,6,12,,4,
ssl,sweden,2024/2025,Nykvarns IBF,Patrik Gustavsson,26,6,6,12,,10,
ssl,sweden,2024/2025,Pixbo IBK,Benjamin Schill,26,5,7,12,,6,
ssl,sweden,2024/2025,IBF Falun,Patrik Burman,25,5,7,12,,6,
ssl,sweden,2024/2025,Linköping IBK,Martin Karlsson,25,4,8,12,,4,
ssl,sweden,2024/2025,Nykvarns IBF,Sebastian Thorberg,26,4,8,12,,6,
ssl,sweden,2024/2025,Mullsjö AIS,Casper Karlsson,22,3,9,12,,0,
ssl,sweden,2024/2025,IBK Dalen,Ketil Kronberg,15,9,2,11,,2,
ssl,sweden,2024/2025,Mullsjö AIS,Joel Ingesson,23,9,2,11,,8,
ssl,sweden,2024/2025,Växjö Vipers,Alexander Hallén,16,8,3,11,,2,
ssl,sweden,2024/2025,Warberg IC,Joel Birgersson,15,8,3,11,,10,
ssl,sweden,2024/2025,Linköping IBK,Olle Abrahamsson,24,6,5,11,,0,
ssl,sweden,2024/2025,Nykvarns IBF,Lucas Rigogiannis,12,6,5,11,,4,
ssl,sweden,2024/2025,Team Thorengruppen SK,Viktor Hammarstedt,25,5,6,11,,0,
ssl,sweden,2024/2025,Växjö Vipers,Niklas Ramirez,24,5,6,11,,2,
ssl,sweden,2024/2025,FC Helsingborg,Simon Persson,26,5,6,11,,6,
ssl,sweden,2024/2025,AIK IBF,Joakim Alvinder,11,3,8,11,,0,
ssl,sweden,2024/2025,Warberg IC,Hugo Jonsson,19,3,8,11,,8,
ssl,sweden,2024/2025,Team Thorengruppen SK,Tobias Bergfors,23,9,1,10,,0,
ssl,sweden,2024/2025,Jönköpings IK,Anton Gröön,26,7,3,10,,4,
ssl,sweden,2024/2025,Linköping IBK,Josef Rypar,26,7,3,10,,18,
ssl,sweden,2024/2025,FBC Kalmarsund,Johan Palmqvist,26,6,4,10,,8,
ssl,sweden,2024/2025,Pixbo IBK,Gustav Lindberg,25,5,5,10,,4,
ssl,sweden,2024/2025,Storvreta IBK,Simon Götz,25,4,6,10,,0,
ssl,sweden,2024/2025,Storvreta IBK,Rasmus Sundstedt,25,4,6,10,,4,
ssl,sweden,2024/2025,Jönköpings IK,Alexander Lind,26,4,6,10,,4,
ssl,sweden,2024/2025,Växjö Vipers,Oscar Johansson,26,2,8,10,,0,
ssl,sweden,2024/2025,Nykvarns IBF,Filip Ceder,26,7,2,9,,2,
ssl,sweden,2024/2025,FC Helsingborg,Albin Strand,15,7,2,9,,4,
ssl,sweden,2024/2025,IBK Dalen,Mattias Ljunggren,23,6,3,9,,6,
ssl,sweden,2024/2025,Linköping IBK,Lukas Eldholm,25,5,4,9,,0,
ssl,sweden,2024/2025,Nykvarns IBF,Oscar Fondelius,24,5,4,9,,2,
ssl,sweden,2024/2025,Pixbo IBK,William Lindh,24,5,4,9,,6,
ssl,sweden,2024/2025,FC Helsingborg,Felix Uusitalo,22,5,4,9,,30,
ssl,sweden,2024/2025,IBK Dalen,Wilhelm Vihtari Hansson,22,3,6,9,,6,
ssl,sweden,2024/2025,IBF Falun,Johan Samuelsson,21,2,7,9,,0,
ssl,sweden,2024/2025,Warberg IC,Jesper Larsson,26,7,1,8,,4,
ssl,sweden,2024/2025,AIK IBF,Jonathan Blomqvist,13,6,2,8,,0,
ssl,sweden,2024/2025,Nykvarns IBF,Niklas Ohlström,26,6,2,8,,4,
ssl,sweden,2024/2025,Warberg IC,Mattias Kongstad,19,5,3,8,,0,
ssl,sweden,2024/2025,Team Thorengruppen SK,Joel Dahlberg,23,5,3,8,,2,
ssl,sweden,2024/2025,Storvreta IBK,Carl Kostov Bredberg,24,5,3,8,,2,
ssl,sweden,2024/2025,Växjö Vipers,Eemeli Akola,25,5,3,8,,12,
ssl,sweden,2024/2025,IBF Falun,Daniel Kalentun,11,4,4,8,,0,
ssl,sweden,2024/2025,IBF Falun,Simon Berg,20,4,4,8,,4,
ssl,sweden,2024/2025,FBC Kalmarsund,Albin Hedstål,26,4,4,8,,10,
ssl,sweden,2024/2025,Linköping IBK,Kim Varga,26,3,5,8,,0,
ssl,sweden,2024/2025,Jönköpings IK,Joel Nyström,26,3,5,8,,2,
ssl,sweden,2024/2025,FBC Kalmarsund,Gustav Wadell,26,3,5,8,,8,
ssl,sweden,2024/2025,Warberg IC,Markus Berntsson,22,2,6,8,,4,
ssl,sweden,2024/2025,IBK Dalen,Oliver Forslind,13,2,6,8,,4,
ssl,sweden,2024/2025,IBK Dalen,Jacob Mäkeläinen,19,2,6,8,,12,
ssl,sweden,2024/2025,Warberg IC,Willy Sedin,25,2,6,8,,14,
ssl,sweden,2024/2025,Pixbo IBK,Fabian Lindbäck,25,1,7,8,,0,
ssl,sweden,2024/2025,IBK Dalen,Wilmer Entall,25,7,0,7,,2,
ssl,sweden,2024/2025,FC Helsingborg,Jakub Kopecky,11,6,1,7,,2,
ssl,sweden,2024/2025,Team Thorengruppen SK,Gabriel Erol,18,5,2,7,,2,
ssl,sweden,2024/2025,Nykvarns IBF,Liam Arvidsson,23,5,2,7,,6,
ssl,sweden,2024/2025,Team Thorengruppen SK,Sebastian Theorin,22,4,3,7,,0,
ssl,sweden,2024/2025,Växjö Vipers,Martin Håkansson,12,4,3,7,,0,
ssl,sweden,2024/2025,Mullsjö AIS,Alfred Sandström,25,4,3,7,,0,
ssl,sweden,2024/2025,Växjö Vipers,Ludvig Öberg,26,4,3,7,,2,
ssl,sweden,2024/2025,FC Helsingborg,Zacharias Melin,26,4,3,7,,18,
ssl,sweden,2024/2025,Storvreta IBK,Filip Björk,24,3,4,7,,0,
ssl,sweden,2024/2025,Pixbo IBK,Oscar Hammarqvist,25,3,4,7,,4,
ssl,sweden,2024/2025,FC Helsingborg,Fabian Hansson,22,3,4,7,,58,
ssl,sweden,2024/2025,Team Thorengruppen SK,Albin Carlsten,26,2,5,7,,0,
ssl,sweden,2024/2025,FBC Kalmarsund,Tobias Lindström,26,2,5,7,,6,
ssl,sweden,2024/2025,IBK Dalen,Pär Forsman,21,2,5,7,,8,
ssl,sweden,2024/2025,Nykvarns IBF,Simon Westgärds,26,3,3,6,,2,
ssl,sweden,2024/2025,Pixbo IBK,Wictor Lundstedt,25,3,3,6,,4,
ssl,sweden,2024/2025,Team Thorengruppen SK,Jonas Grahn,25,3,3,6,,4,
ssl,sweden,2024/2025,FC Helsingborg,Jens Rasmusson,23,3,3,6,,4,
ssl,sweden,2024/2025,Team Thorengruppen SK,Adam Vallin,26,3,3,6,,12,
ssl,sweden,2024/2025,FBC Kalmarsund,Kim Guilotte,25,2,4,6,,6,
ssl,sweden,2024/2025,Jönköpings IK,Filip Åkerblom,23,1,5,6,,4,
ssl,sweden,2024/2025,AIK IBF,Jesper Andersson,24,4,1,5,,2,
ssl,sweden,2024/2025,IBK Dalen,Noah Norlander,8,4,1,5,,2,
ssl,sweden,2024/2025,IBF Falun,Lukas Rosenklint,20,4,1,5,,2,
ssl,sweden,2024/2025,Warberg IC,Johan Stadin,25,3,2,5,,0,
ssl,sweden,2024/2025,AIK IBF,Daniel Thorsson,8,3,2,5,,2,
ssl,sweden,2024/2025,IBK Dalen,Anton Ahlbäck,25,3,2,5,,4,
ssl,sweden,2024/2025,Mullsjö AIS,Simon Möller,24,3,2,5,,4,
ssl,sweden,2024/2025,FC Helsingborg,Viggo Wallin,26,3,2,5,,8,
ssl,sweden,2024/2025,Nykvarns IBF,Alexander Isberg,23,2,3,5,,0,
ssl,sweden,2024/2025,AIK IBF,Douglas Wetterstrand,26,2,3,5,,0,
ssl,sweden,2024/2025,Warberg IC,Zeb Johnsson,26,2,3,5,,2,
ssl,sweden,2024/2025,Team Thorengruppen SK,Filip Norman,25,2,3,5,,20,
ssl,sweden,2024/2025,Warberg IC,Filip Holmer,26,1,4,5,,0,
ssl,sweden,2024/2025,Warberg IC,Anton Frejd,13,1,4,5,,0,
ssl,sweden,2024/2025,Pixbo IBK,Filip Kalentun,25,1,4,5,,6,
ssl,sweden,2024/2025,FC Helsingborg,Axel Lindkvist,22,0,5,5,,0,
ssl,sweden,2024/2025,AIK IBF,Adam Forslöv,26,0,5,5,,6,
ssl,sweden,2024/2025,Storvreta IBK,Rasmus Andersson,25,4,0,4,,0,
ssl,sweden,2024/2025,FBC Kalmarsund,Emil Hellgren,25,4,0,4,,0,
ssl,sweden,2024/2025,IBK Dalen,Adam Forsman,21,3,1,4,,0,
ssl,sweden,2024/2025,IBK Dalen,Carl From,18,3,1,4,,0,
ssl,sweden,2024/2025,Warberg IC,Viktor Olofsson,20,3,1,4,,2,
ssl,sweden,2024/2025,Mullsjö AIS,Josef Sankell,23,3,1,4,,2,
ssl,sweden,2024/2025,FC Helsingborg,Nicklas Lidholm,7,3,1,4,,2,
ssl,sweden,2024/2025,FBC Kalmarsund,Adam Nilsson,22,2,2,4,,0,
ssl,sweden,2024/2025,AIK IBF,Alex Andersson,19,1,3,4,,2,
ssl,sweden,2024/2025,Pixbo IBK,Alfred Pettersson,18,1,3,4,,4,
ssl,sweden,2024/2025,Storvreta IBK,Emil Helmrich,24,1,3,4,,4,
ssl,sweden,2024/2025,Warberg IC,Rikard Eriksson,5,0,4,4,,0,
ssl,sweden,2024/2025,IBK Dalen,Hugo Nording,23,0,4,4,,4,
ssl,sweden,2024/2025,Linköping IBK,Samuel Dahlberg Demir,25,3,0,3,,0,
ssl,sweden,2024/2025,Pixbo IBK,Václav Babík,8,3,0,3,,0,
ssl,sweden,2024/2025,Linköping IBK,Felix Sunell,25,2,1,3,,0,
ssl,sweden,2024/2025,Warberg IC,Lucas Dahlström,26,2,1,3,,2,
ssl,sweden,2024/2025,Warberg IC,Mattias Lövenfors,24,2,1,3,,4,
ssl,sweden,2024/2025,AIK IBF,Lucas Nordahl,17,1,2,3,,0,
ssl,sweden,2024/2025,Linköping IBK,Emil Lögdberg,4,1,2,3,,0,
ssl,sweden,2024/2025,Nykvarns IBF,Daniel Johansson,25,1,2,3,,2,
ssl,sweden,2024/2025,FBC Kalmarsund,Christopher Dahl,26,1,2,3,,2,
ssl,sweden,2024/2025,FC Helsingborg,Kalle Tamminen,17,1,2,3,,2,
ssl,sweden,2024/2025,IBF Falun,Calle Inglander,19,1,2,3,,6,
ssl,sweden,2024/2025,Nykvarns IBF,Kevin Mattsson,20,1,2,3,,6,
ssl,sweden,2024/2025,FC Helsingborg,Niclas Brohlin-Ljung,19,0,3,3,,2,
ssl,sweden,2024/2025,IBK Dalen,Vidar Mårtensson,14,2,0,2,,0,
ssl,sweden,2024/2025,AIK IBF,Oskar Hagberg,1,2,0,2,,0,
ssl,sweden,2024/2025,Storvreta IBK,Fredrik Lindholm,25,2,0,2,,0,
ssl,sweden,2024/2025,Jönköpings IK,Albin Jakobsson,26,1,1,2,,2,
ssl,sweden,2024/2025,Jönköpings IK,Emrick Wiggur,23,1,1,2,,4,
