source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Marek Beneš,10,18,15,33,55,,26
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Tom Ondrušek,10,9,12,21,44,,8
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Rostislav Gattnar,13,14,6,20,39,,4
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Tomáš Hanák,9,14,6,20,31,,18
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Marek Vávra,10,12,7,19,49,,12
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Adam Delong,12,8,9,17,37,,6
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Martin Tokoš,12,12,4,16,24,,11
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Adam Zubek,12,8,8,16,28,,2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Martin Gattnar,13,9,6,15,38,,3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Marek Matejčík,13,8,7,15,22,,-6
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Mikuláš Komárek,10,7,8,15,36,,15
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Kopecký,7,9,5,14,30,,2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Matyáš Šindler,13,6,8,14,21,,1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Milan Tomašík,12,5,8,13,31,,7
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Martin Kisugite,10,6,6,12,15,,16
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Michal Sládek,12,6,6,12,24,,6
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Milan Meliš,10,5,7,12,29,,26
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Filip Smutný,7,2,10,12,14,,3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Vojtěch Wiener,7,7,4,11,20,,-2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Lukáš Fukala,13,5,6,11,22,,5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Ronald Gašparík,12,5,6,11,24,,5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Patrik Suchánek,11,5,6,11,23,,10
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Vařecha,12,7,3,10,25,,10
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Matěj Havlas,8,5,5,10,24,,16
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Martin Šindelář,10,3,7,10,23,,2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Dominik Beneš,12,7,2,9,19,,4
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jonáš Kreysa,10,5,4,9,24,,15
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Michal Pažák,13,2,7,9,11,,3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Radek Krajcigr,7,6,2,8,22,,-6
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Marek Matoušek,10,6,2,8,15,,11
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Matěj Čermák,5,5,3,8,15,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jiří Besta,12,3,5,8,22,,7
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Buršík,6,3,5,8,14,,4
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Bína,12,3,5,8,14,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Robert Košir,5,5,2,7,20,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Filip Zakonov,12,5,2,7,14,,8
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jan Zoufalý,12,5,2,7,14,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Ondřej Kawulok,6,4,3,7,11,,7
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Karel Petrák,6,4,3,7,9,,4
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Ladislav Pekárek,7,2,5,7,14,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Václav Vavruška,7,5,1,6,23,,-6
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Boček,8,4,2,6,8,,3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Marek Korych,7,3,3,6,14,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Antonín Stárek,7,2,4,6,15,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Prokop Ferdan,7,2,3,5,16,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Mikuláš Krbec,5,2,3,5,10,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Ondřej Jankovský,13,1,4,5,5,,5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jan Šebesta,13,1,4,5,5,,-2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Faksa,7,3,1,4,16,,-2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Lukáš Hájek,13,3,1,4,18,,-5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Matěj Pruner,5,3,1,4,9,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Martin Skřivánek,8,3,1,4,12,,10
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Vladimír Trčka,7,3,1,4,7,,4
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Matyáš Krebner,6,2,2,4,9,,5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Vojtěch Petráň,10,2,2,4,18,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jan Peška,5,2,2,4,15,,-2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Lukáš Punčochář,12,2,2,4,15,,5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Ondřej Sidunov,13,2,2,4,9,,1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Tomáš Sýkora,10,2,2,4,8,,12
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Marek Šmíd,10,2,2,4,6,,-10
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Martin Čermák,10,1,3,4,11,,1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Daniel Šebek,12,1,3,4,17,,3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Daniel Štěrba,3,1,3,4,6,,3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Tomáš Kvasnica,6,0,4,4,11,,-6
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Šimon Batkovič,4,3,0,3,9,,-2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Ondřej Vošta,10,3,0,3,19,,-10
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Klāvs Araks,3,2,1,3,6,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jiří Bauer,7,2,1,3,12,,-6
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Hubálek,8,2,1,3,8,,-5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Vojtěch Janeček,5,2,1,3,12,,9
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Šimon Kuczera,3,2,1,3,4,,-4
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Adam Mikoláš,3,2,1,3,6,,1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Tomáš Pšenička,7,2,1,3,9,,-7
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Lukáš Ujhelyi,5,2,1,3,10,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Antonín Votava,10,2,1,3,18,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Patrik Šebek,6,2,1,3,9,,-6
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Adam Šmíd,11,2,1,3,12,,5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jan Daniš,3,1,2,3,3,,-4
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Daniel Gärtner,3,1,2,3,6,,-4
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Martin Pražan,5,1,2,3,15,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Patrik Rozkovec,7,1,2,3,6,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Matúš Gajdoš,6,0,3,3,5,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Daniel Kellermann,2,2,0,2,2,,-6
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Kolísko,6,2,0,2,7,,-2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Michal Antonín Malhocký,7,2,0,2,3,,8
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jan Malič,6,2,0,2,9,,2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Adam Palčinský,9,2,0,2,9,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Ivan Pergler,3,2,0,2,6,,-4
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jaroslav Petrák,2,2,0,2,3,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Ondřej Sádlo,10,2,0,2,12,,5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Filip Bergman,11,1,1,2,4,,2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Marek Bräuer,3,1,1,2,5,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jiří Curney,5,1,1,2,3,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jan Rudolf Dobisík,6,1,1,2,4,,1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Michal Kareš,5,1,1,2,4,,-2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Daniel Keller,3,1,1,2,9,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Albert Kouba,7,1,1,2,6,,-8
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Filip Kučera,7,1,1,2,5,,-5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Kárník,7,1,1,2,2,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Radim Křenek,6,1,1,2,5,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Patrik Němec,3,1,1,2,2,,2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Ondřej Plíhal,3,1,1,2,4,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Milan Tichý,10,1,1,2,11,,3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Adam Tlapák,9,1,1,2,10,,5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Samuel Virga,6,1,1,2,3,,6
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Filip Šedivý,7,1,1,2,4,,-6
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Šimon Hatala,13,0,2,2,5,,-4
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Pavel Hájek,3,0,2,2,2,,1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Adam Kučera,8,0,2,2,1,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jan Marvánek,5,0,2,2,3,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Štěpán Slaný,6,0,2,2,8,,-8
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Radim Slunečko,10,0,2,2,5,,5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,David Šimek,8,0,2,2,9,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Filip Brynda,6,1,0,1,1,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Daniel Chatrný,2,1,0,1,5,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Filip Eliáš,10,1,0,1,7,,5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Tomáš Gärtner,2,1,0,1,3,,-2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Vojtěch Klápa,9,1,0,1,3,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Ondřej Kopič,2,1,0,1,5,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Mádlo,7,1,0,1,10,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Pařízek,7,1,0,1,4,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Lukáš Pešat,3,1,0,1,6,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Daniel Prašivka,3,1,0,1,1,,1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Antonín Pražák,3,1,0,1,1,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,David Slončík,11,1,0,1,6,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Adam Stýblo,5,1,0,1,3,,-9
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Tomáš Trnka,6,1,0,1,1,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Šimon Vavroušek,10,1,0,1,7,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Marek Zouzal,5,1,0,1,9,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Matěj Čelakovský,7,1,0,1,5,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Šourek,11,1,0,1,1,,2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Štěpán Švejda,2,1,0,1,1,,1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Vojtěch Bílek,6,0,1,1,6,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Lukáš Dolejš,7,0,1,1,4,,-3
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Daniel Grézl,6,0,1,1,2,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Lukáš Herblich,3,0,1,1,3,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Matěj Horák,3,0,1,1,2,,-5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Jirsa,7,0,1,1,4,,-8
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Josef Juha,5,0,1,1,3,,-5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Lukáš Kafka,10,0,1,1,8,,-5
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Lukáš Mlejnek,7,0,1,1,1,,-7
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Martin Mühlfait,5,0,1,1,2,,2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Lukáš Pobořil,3,0,1,1,5,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Seibert,4,0,1,1,2,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jan Řehoř,3,0,1,1,2,,-2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Martin Šulc,3,0,1,1,4,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Václav Bajko,1,0,0,0,0,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jan Bitman,7,0,0,0,2,,-1
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Matyáš Borek,2,0,0,0,0,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Adam Bureš,2,0,0,0,1,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Oliver Bäcksbacka,4,0,0,0,0,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Filip Cobl,2,0,0,0,0,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Ondřej Duben,2,0,0,0,0,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jakub Dufek,4,0,0,0,3,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Marek Dzierža,7,0,0,0,3,,-6
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Jáchym Eliáš,1,0,0,0,0,,0
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Daniel Eremiáš,10,0,0,0,7,,-10
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Martin Feigl,11,0,0,0,0,,2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Daniel Fišer,5,0,0,0,1,,-2
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,Michal Fišera,7,0,0,0,1,,-4
ceskyflorbal,czech,2023/2024,Předvýběr.CZ Florbal MB,David Friedel,3,0,0,0,0,,-2
