source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
fliiga,finland,2025-2026,SPV,Hakanen Riku,32,31,54,85,257,4,50
fliiga,finland,2025-2026,NOKIAN KRP,Rantala Joona,32,50,33,83,254,4,64
fliiga,finland,2025-2026,CLASSIC,Lastikka Ville,28,29,30,59,200,6,61
fliiga,finland,2025-2026,NOKIAN KRP,Hyvärinen Luukas,31,24,32,56,126,8,42
fliiga,finland,2025-2026,NOKIAN KRP,Laakso Mikko,29,31,22,53,190,4,48
fliiga,finland,2025-2026,OILERS,Auvinen Jasper,32,29,23,52,273,2,35
fliiga,finland,2025-2026,SPV,Keskinen Juuso,23,34,15,49,175,10,30
fliiga,finland,2025-2026,OILERS,Salmi Markus,31,33,16,49,193,12,36
fliiga,finland,2025-2026,CLASSIC,Salin Eemeli,30,30,19,49,190,2,23
fliiga,finland,2025-2026,NOKIAN KRP,Ahola Juuso,21,30,17,47,153,2,30
fliiga,finland,2025-2026,OILERS,Markkola Markus,24,22,23,45,146,8,38
fliiga,finland,2025-2026,JYMY,Vaarala Karri,32,25,19,44,221,16,-11
fliiga,finland,2025-2026,SPV,Tammiranta Aaro,31,17,27,44,144,36,3
fliiga,finland,2025-2026,JYMY,Äijälä Eemil,21,22,21,43,193,12,0
fliiga,finland,2025-2026,CLASSIC,Karppanen Teemu,32,17,25,42,113,4,36
fliiga,finland,2025-2026,NOKIAN KRP,Kovanen Joonatan,28,23,18,41,169,0,38
fliiga,finland,2025-2026,CLASSIC,Heikkilä Oskari,31,25,15,40,129,18,46
fliiga,finland,2025-2026,OILERS,Vesterinen Waltteri,22,17,23,40,140,8,33
fliiga,finland,2025-2026,OILERS,Sorvali Eetu,32,28,11,39,116,2,36
fliiga,finland,2025-2026,SPV,Karjanlahti Eemeli,32,24,14,38,129,8,43
fliiga,finland,2025-2026,CLASSIC,Virtanen Viljami,29,18,20,38,110,4,26
fliiga,finland,2025-2026,ERÄVIIKINGIT,Haveri Elmeri,30,27,10,37,277,32,-7
fliiga,finland,2025-2026,SPV,Haukkala Konsta,30,25,11,36,165,46,20
fliiga,finland,2025-2026,INDIANS,Junnila Samuli,24,19,16,35,197,6,15
fliiga,finland,2025-2026,CLASSIC,Laitila Alpo,30,15,20,35,63,2,63
fliiga,finland,2025-2026,TPS,Jalo Eero,25,14,21,35,88,26,7
fliiga,finland,2025-2026,NOKIAN KRP,Jonaeson Nico,32,7,28,35,88,2,53
