source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
fliiga,finland,2022-2023,SPV,Kotilainen Peter,32,29,44,73,354,16,55
fliiga,finland,2022-2023,NOKIAN KRP,Laakso Mikko,33,32,31,63,154,8,50
fliiga,finland,2022-2023,NOKIAN KRP,Rantala Joona,33,32,27,59,207,14,42
fliiga,finland,2022-2023,INDIANS,Remes Christian,33,26,24,50,190,2,21
fliiga,finland,2022-2023,OLS,Hyvärinen Luukas,31,23,26,49,134,12,20
fliiga,finland,2022-2023,HAPPEE,Manninen Jami,33,23,25,48,196,14,20
fliiga,finland,2022-2023,HAPPEE,Siekkinen Kaapo,33,34,13,47,158,14,46
fliiga,finland,2022-2023,JYMY,Haveri Elmeri,33,32,14,46,255,10,-10
fliiga,finland,2022-2023,HAPPEE,Laiti Niko,33,24,21,45,151,0,40
fliiga,finland,2022-2023,TPS,Trekse Peteris,33,17,28,45,162,26,53
fliiga,finland,2022-2023,CLASSIC,Lastikka Ville,24,20,24,44,158,2,45
fliiga,finland,2022-2023,SPV,Haukkala Konsta,33,31,12,43,215,24,42
fliiga,finland,2022-2023,JYMY,Hakanen Riku,24,23,17,40,172,6,6
fliiga,finland,2022-2023,CLASSIC,Heikkilä Oskari,33,15,23,38,136,6,29
fliiga,finland,2022-2023,TPS,Vesterinen Waltteri,29,14,24,38,117,10,44
fliiga,finland,2022-2023,TPS,Niemelä Jere,25,20,17,37,147,18,39
fliiga,finland,2022-2023,NOKIAN KRP,Jonaeson Nico,31,17,20,37,104,8,48
fliiga,finland,2022-2023,NOKIAN KRP,Ahola Juuso,30,19,14,33,112,6,32
fliiga,finland,2022-2023,HAPPEE,Kinnunen Teuvo,30,17,15,32,123,2,26
fliiga,finland,2022-2023,OLS,Karvonen Valte,30,17,15,32,86,2,16
fliiga,finland,2022-2023,OLS,Kinnunen Olli,31,22,9,31,127,8,3
fliiga,finland,2022-2023,NOKIAN KRP,Viitakoski Valtteri,33,22,9,31,119,2,24
fliiga,finland,2022-2023,LASB,Einiö Niko,33,25,5,30,236,12,-15
fliiga,finland,2022-2023,TPS,Laine Olli-Akseli,33,11,19,30,120,14,46
fliiga,finland,2022-2023,CLASSIC,Laitila Alpo,33,6,24,30,54,6,24
fliiga,finland,2022-2023,FBC TURKU,Ollikainen Aaro,32,20,9,29,140,16,-43
fliiga,finland,2022-2023,HAPPEE,Minkkinen Matti,28,18,11,29,144,2,25
fliiga,finland,2022-2023,LASB,Havula Tatu,32,13,16,29,99,4,-30
fliiga,finland,2022-2023,INDIANS,Auvinen Jasper,23,17,10,27,131,6,16
fliiga,finland,2022-2023,INDIANS,Huppunen Jesse-Samuli,33,11,16,27,107,6,19
fliiga,finland,2022-2023,INDIANS,Junnila Samuli,29,8,19,27,130,10,12
fliiga,finland,2022-2023,CLASSIC,Tykkyläinen Konsta,33,19,7,26,129,8,26
fliiga,finland,2022-2023,OILERS,Lindfors Santeri,33,15,11,26,103,10,3
fliiga,finland,2022-2023,FBC TURKU,Laaksonen Nikolas,33,10,16,26,109,10,-49
fliiga,finland,2022-2023,HAPPEE,Laasonen Roni,33,17,8,25,125,12,20
fliiga,finland,2022-2023,JYMY,Äijälä Niklas,33,13,12,25,68,2,1
fliiga,finland,2022-2023,SPV,Keskinen Juuso,32,18,6,24,174,14,21
fliiga,finland,2022-2023,LASB,Juuti Jasper,29,12,12,24,158,10,-15
fliiga,finland,2022-2023,INDIANS,Auranen Leevi,30,13,10,23,107,0,-2
