source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
ssl,sweden,2025/2026,Storvreta IBK,Gabriel Kohonen,26,22,50,72,,16,
ssl,sweden,2025/2026,Storvreta IBK,Sakarias Ulriksson,26,45,26,71,,14,
ssl,sweden,2025/2026,IBF Falun,Malte Lundmark,26,38,24,62,,0,
ssl,sweden,2025/2026,AIK IBF,Andreas Stefansson,24,49,8,57,,4,
ssl,sweden,2025/2026,Växjö Vipers,Samuel Folkesson Algman,26,34,21,55,,0,
ssl,sweden,2025/2026,Strängnäs IBK,Omar Aldeeb,23,16,39,55,,14,
ssl,sweden,2025/2026,Storvreta IBK,Filip Eriksson,25,29,25,54,,2,
ssl,sweden,2025/2026,IBF Falun,Emil Ruud,26,27,26,53,,8,
ssl,sweden,2025/2026,Nykvarns IBF,Hampus Ahren,26,14,36,50,,10,
ssl,sweden,2025/2026,Strängnäs IBK,Adam Nilsson,26,38,11,49,,18,
ssl,sweden,2025/2026,Mullsjö AIS,Pelle Tarenius,24,31,18,49,,4,
ssl,sweden,2025/2026,Mullsjö AIS,Tim Andersson Carlsson,26,29,19,48,,2,
ssl,sweden,2025/2026,FBC Kalmarsund,Linus Malmström,25,21,27,48,,6,
ssl,sweden,2025/2026,Jönköpings IK,Oscar Rohlin,26,27,20,47,,6,
ssl,sweden,2025/2026,Mullsjö AIS,Martin Rönnklint,23,30,14,44,,14,
ssl,sweden,2025/2026,FBC Kalmarsund,William Forsman Eklund,26,28,16,44,,0,
ssl,sweden,2025/2026,Linköping IBK,Oskar Hovlund,26,22,20,42,,6,
ssl,sweden,2025/2026,Jönköpings IK,Anton Svanberg,26,25,15,40,,2,
ssl,sweden,2025/2026,Warberg IC,Filip Erheden,25,27,12,39,,4,
ssl,sweden,2025/2026,IBF Falun,Oliver Sandberg,25,25,13,38,,0,
ssl,sweden,2025/2026,FBC Kalmarsund,Victor Wettergren,26,18,20,38,,4,
ssl,sweden,2025/2026,Pixbo IBK,Arvid Äse,23,22,15,37,,0,
ssl,sweden,2025/2026,Jönköpings IK,Noah Johansson,22,14,23,37,,4,
ssl,sweden,2025/2026,Mullsjö AIS,Sebastian Palmqvist,25,7,30,37,,4,
ssl,sweden,2025/2026,Nykvarns IBF,Valdemar Ahlroth,25,16,20,36,,0,
ssl,sweden,2025/2026,IBF Falun,Ahmad Dakhallah,26,17,18,35,,4,
ssl,sweden,2025/2026,Visby IBK,Kim Ganevik,26,19,15,34,,0,
ssl,sweden,2025/2026,Linköping IBK,Oskar Seth,26,14,20,34,,0,
ssl,sweden,2025/2026,Växjö Vipers,Heikki Iiskola,26,13,21,34,,10,
ssl,sweden,2025/2026,IBF Falun,Emil Johansson,24,12,21,33,,4,
ssl,sweden,2025/2026,Warberg IC,Isac Olsson Ferm,26,24,8,32,,6,
ssl,sweden,2025/2026,Hovslätts IK,Adam Bäck,23,20,12,32,,10,
ssl,sweden,2025/2026,IBF Falun,Daniel Kalentun,25,15,17,32,,8,
ssl,sweden,2025/2026,Pixbo IBK,Linus Nestorsson,23,6,26,32,,12,
ssl,sweden,2025/2026,Linköping IBK,Kevin Söderling,25,24,6,30,,0,
ssl,sweden,2025/2026,Mullsjö AIS,Hampus Morelius,26,19,11,30,,10,
ssl,sweden,2025/2026,Warberg IC,Max Källerteg,26,18,12,30,,6,
ssl,sweden,2025/2026,Mullsjö AIS,Oskar Liberg,21,12,18,30,,8,
ssl,sweden,2025/2026,Växjö Vipers,Jesper Sankell,23,12,18,30,,10,
ssl,sweden,2025/2026,Visby IBK,Emil Hedström,23,9,21,30,,8,
ssl,sweden,2025/2026,Växjö Vipers,Jonathan Nilsson,26,19,10,29,,14,
ssl,sweden,2025/2026,FBC Kalmarsund,Kevin Haglund,23,17,12,29,,16,
ssl,sweden,2025/2026,Pixbo IBK,Victor Johansson,26,22,6,28,,4,
ssl,sweden,2025/2026,Nykvarns IBF,Kevin Rigogiannis,24,18,10,28,,2,
ssl,sweden,2025/2026,Växjö Vipers,Hampus Öhgren,26,18,10,28,,8,
ssl,sweden,2025/2026,Visby IBK,Markus Jovic,26,17,11,28,,0,
ssl,sweden,2025/2026,Hovslätts IK,Wille Knuthas,21,14,14,28,,4,
ssl,sweden,2025/2026,Hovslätts IK,Melwin Knuthas,21,14,14,28,,6,
ssl,sweden,2025/2026,AIK IBF,Liam Åström,23,11,17,28,,10,
ssl,sweden,2025/2026,Nykvarns IBF,Markus Jonsson,26,14,13,27,,2,
ssl,sweden,2025/2026,Jönköpings IK,Emil Jacobsson,26,14,12,26,,6,
ssl,sweden,2025/2026,Strängnäs IBK,Tim Lindgren,21,14,12,26,,8,
ssl,sweden,2025/2026,Warberg IC,Anton Birgersson,25,11,15,26,,6,
ssl,sweden,2025/2026,Linköping IBK,Simon Palmén,24,8,18,26,,0,
ssl,sweden,2025/2026,Storvreta IBK,Filip Langer,26,14,11,25,,6,
ssl,sweden,2025/2026,Linköping IBK,Matej Jendrisak,26,12,13,25,,0,
ssl,sweden,2025/2026,Strängnäs IBK,Pelle Hansson,22,20,4,24,,4,
ssl,sweden,2025/2026,Visby IBK,Jesper Lagemyr,26,19,5,24,,10,
ssl,sweden,2025/2026,FBC Kalmarsund,Stefan Hutzli,26,18,6,24,,6,
ssl,sweden,2025/2026,Hovslätts IK,Vilgot Kronstrand,25,11,13,24,,8,
ssl,sweden,2025/2026,AIK IBF,Kim Guilotte,25,10,14,24,,2,
ssl,sweden,2025/2026,Hovslätts IK,Albin Rommeskog,26,8,16,24,,6,
ssl,sweden,2025/2026,AIK IBF,Alex Indriana Kjellbris,25,4,20,24,,8,
ssl,sweden,2025/2026,Storvreta IBK,Ondrej Nemecek,26,12,11,23,,4,
ssl,sweden,2025/2026,Strängnäs IBK,Oscar Janthe,22,10,13,23,,4,
