source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
ssl,sweden,2023/2024,Växjö Vipers,Jesper Sankell,26,30,33,63,,8,
ssl,sweden,2023/2024,IBF Falun,Malte Lundmark,26,39,21,60,,10,
ssl,sweden,2023/2024,Mullsjö AIS,Pelle Tarenius,26,42,15,57,,8,
ssl,sweden,2023/2024,Pixbo IBK,Oskar Weissbach,26,21,34,55,,8,
ssl,sweden,2023/2024,Storvreta IBK,Gabriel Kohonen,24,26,28,54,,2,
ssl,sweden,2023/2024,Pixbo IBK,Felix Lanver,25,24,27,51,,8,
ssl,sweden,2023/2024,IBF Falun,Emil Ruud,26,22,29,51,,8,
ssl,sweden,2023/2024,Pixbo IBK,Gustav Fritzell,26,29,21,50,,6,
ssl,sweden,2023/2024,Storvreta IBK,Filip Eriksson,26,27,23,50,,6,
ssl,sweden,2023/2024,Mullsjö AIS,Sebastian Palmqvist,26,17,33,50,,2,
ssl,sweden,2023/2024,Växjö Vipers,Samuel Folkesson Algman,26,31,18,49,,2,
ssl,sweden,2023/2024,FBC Kalmarsund,Linus Malmström,25,21,25,46,,22,
ssl,sweden,2023/2024,FC Helsingborg,Christoffer Andersson,22,24,21,45,,0,
ssl,sweden,2023/2024,AIK IBF,Liam Åström,25,30,14,44,,10,
ssl,sweden,2023/2024,Mullsjö AIS,Joel Ingesson,24,31,12,43,,0,
ssl,sweden,2023/2024,Team Thorengruppen SK,Hampus Öhgren,26,24,17,41,,4,
ssl,sweden,2023/2024,Storvreta IBK,Sakarias Ulriksson,26,25,15,40,,8,
ssl,sweden,2023/2024,Team Thorengruppen SK,Axel Hjälm,25,18,22,40,,6,
ssl,sweden,2023/2024,FBC Kalmarsund,Victor Wettergren,26,19,19,38,,10,
ssl,sweden,2023/2024,Storvreta IBK,Otto Weidman,26,24,12,36,,0,
ssl,sweden,2023/2024,Karlstad IBF,Johan Palmqvist,25,21,15,36,,4,
ssl,sweden,2023/2024,Karlstad IBF,Anton Vestlund,26,21,15,36,,18,
ssl,sweden,2023/2024,Växjö Vipers,Manuel Maurer,24,20,16,36,,4,
ssl,sweden,2023/2024,FBC Kalmarsund,Kevin Haglund,24,26,9,35,,26,
ssl,sweden,2023/2024,Jönköpings IK,Melker Hemmingberg,26,22,13,35,,0,
ssl,sweden,2023/2024,IBF Falun,Omar Aldeeb,26,22,13,35,,2,
ssl,sweden,2023/2024,Pixbo IBK,Arvid Äse,25,22,12,34,,8,
ssl,sweden,2023/2024,IBF Falun,Simon Cederström,25,14,20,34,,2,
ssl,sweden,2023/2024,Mullsjö AIS,Oskar Malmgren,23,11,23,34,,2,
ssl,sweden,2023/2024,Pixbo IBK,Daniel Kalentun,26,18,15,33,,18,
ssl,sweden,2023/2024,FC Helsingborg,Linus Bergström,24,11,22,33,,6,
ssl,sweden,2023/2024,Team Thorengruppen SK,Måns Höglin,24,18,14,32,,16,
ssl,sweden,2023/2024,IBF Falun,Alexander Galante Carlström,22,24,7,31,,2,
ssl,sweden,2023/2024,Linköping IBK,Kevin Söderling,26,23,8,31,,2,
ssl,sweden,2023/2024,Storvreta IBK,Filip Langer,23,19,12,31,,0,
ssl,sweden,2023/2024,Linköping IBK,Simon Palmén,24,12,19,31,,0,
ssl,sweden,2023/2024,Jönköpings IK,Noah Johansson,24,14,16,30,,10,
ssl,sweden,2023/2024,Jönköpings IK,Oscar Rohlin,26,19,10,29,,2,
ssl,sweden,2023/2024,Storvreta IBK,Tobias Gustafsson,26,11,18,29,,4,
ssl,sweden,2023/2024,Linköping IBK,Oskar Seth,26,21,7,28,,2,
ssl,sweden,2023/2024,Karlstad IBF,Simon Sjögren,26,14,14,28,,24,
ssl,sweden,2023/2024,FBC Kalmarsund,Filip Forman,20,12,16,28,,4,
ssl,sweden,2023/2024,Jönköpings IK,Hannes Nyström,26,11,17,28,,0,
ssl,sweden,2023/2024,Hagunda IF,Kevin Ahlholm,26,17,10,27,,0,
ssl,sweden,2023/2024,Linköping IBK,Matej Jendrisak,25,17,10,27,,2,
ssl,sweden,2023/2024,AIK IBF,Andreas Stefansson,26,21,5,26,,6,
ssl,sweden,2023/2024,Pixbo IBK,Victor Johansson,26,17,9,26,,4,
ssl,sweden,2023/2024,Linköping IBK,Oskar Hovlund,25,8,18,26,,12,
ssl,sweden,2023/2024,AIK IBF,Helmer Hernegran,26,5,21,26,,2,
ssl,sweden,2023/2024,FC Helsingborg,Fredi Petersson,26,12,13,25,,6,
ssl,sweden,2023/2024,IBF Falun,Emil Johansson,23,10,15,25,,4,
ssl,sweden,2023/2024,AIK IBF,Alex Indriana Kjellbris,26,8,17,25,,6,
ssl,sweden,2023/2024,Nykvarns IBF,Oscar Janthe,25,12,12,24,,0,
ssl,sweden,2023/2024,Karlstad IBF,Sebastian Degeryd,21,11,13,24,,4,
ssl,sweden,2023/2024,Växjö Vipers,Ludwig Persson,17,6,18,24,,4,
ssl,sweden,2023/2024,Hagunda IF,Jonas Larsson,26,20,3,23,,4,
ssl,sweden,2023/2024,Hagunda IF,Adam Nilbrink,25,17,6,23,,4,
ssl,sweden,2023/2024,Team Thorengruppen SK,Gabriel Erol,26,15,8,23,,6,
ssl,sweden,2023/2024,Växjö Vipers,Emil Nyh,26,14,9,23,,0,
ssl,sweden,2023/2024,Växjö Vipers,Marcus Ekengren,25,13,10,23,,0,
ssl,sweden,2023/2024,FBC Kalmarsund,Martin Rönnklint,25,14,8,22,,2,
