source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,David Vodica,25,26,12,38,95,,-23
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Michal Malec,26,14,10,24,47,,-41
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Šimon Ruber,26,10,12,22,33,,-35
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Lukáš Vlach,20,6,12,18,32,,-8
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Adam Klusoň,18,6,11,17,46,,-19
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Tadeáš Gryc,26,7,7,14,33,,-17
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Matěj Hronek,26,10,3,13,29,,-37
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Jonáš Kůra,25,5,7,12,34,,-34
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Matěj Klímek,24,4,6,10,33,,-10
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Patrik Neterder,20,6,1,7,23,,-15
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Matyáš Gryc,22,3,3,6,15,,-7
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,René Slezák,19,3,1,4,14,,-8
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Dominik Dvořák,25,2,2,4,23,,-35
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Jakub Procházka,20,3,0,3,19,,-30
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Adam Tůma,11,3,0,3,9,,-11
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Vojtěch Spousta,15,2,1,3,11,,-15
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Alex Dokládal,25,1,2,3,22,,-33
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Matěj Bednář,26,1,1,2,12,,-18
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Jiří Halama,9,1,1,2,7,,-6
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Lukáš Suk,18,0,2,2,11,,-18
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Kryštof Milichovský,14,0,1,1,8,,-16
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Jaroslav David,3,0,0,0,0,,0
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Jiří Hájek,1,0,0,0,0,,0
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Daniel Málek,2,0,0,0,0,,-2
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Lukáš Slezák,1,0,0,0,0,,0
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Marek Zapletal,3,0,0,0,0,,-3
ceskyflorbal,czech,2025/2026,FBŠ Hummel Hattrick Brno,Tomáš Zeisel,11,0,0,0,0,,-16
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Matouš Burian,20,19,13,32,59,,16
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Jakub Hromada,21,16,11,27,65,,11
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Jakub Boček,22,15,8,23,63,,-3
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Jakub Renčín,25,11,12,23,44,,-2
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Daniel Ludvík,25,10,12,22,28,,-5
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Vilém Doležal,24,12,6,18,43,,4
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Tomáš Čáslava,23,10,6,16,24,,-14
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Adam Štyler,26,7,7,14,24,,5
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Marek Hozman,24,7,6,13,60,,-14
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Martin Obuškevič,25,4,6,10,29,,-7
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Matěj Boček,26,4,4,8,31,,-8
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Filip Neklan,23,3,5,8,10,,10
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Tomáš Dlesk,25,2,6,8,23,,-18
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Petr Vávra,7,2,2,4,2,,1
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Václav Oubrecht,23,0,3,3,9,,-17
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Vojtěch Novotný,24,2,0,2,7,,-8
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Jan Kourek,15,1,1,2,31,,-5
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,David Žáček,14,1,1,2,10,,-5
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Jakub Šimák,26,1,0,1,5,,-21
ceskyflorbal,czech,2025/2026,BA SOKOLI Pardubice,Petr Brautferger,8,0,1,1,8,,4
