source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
ssl,sweden,2022/2023,Storvreta IBK,Albin Sjögren,26,27,49,76,,2,
ssl,sweden,2022/2023,IBF Falun,Alexander Galante Carlström,25,52,18,70,,8,
ssl,sweden,2022/2023,Pixbo IBK,Martin Östholm,21,29,33,62,,0,
ssl,sweden,2022/2023,FC Helsingborg,Max Wahlgren,24,35,25,60,,8,
ssl,sweden,2022/2023,Linköping IBK,Simon Palmén,26,22,34,56,,0,
ssl,sweden,2022/2023,FC Helsingborg,Linus Nordgren,26,25,28,53,,2,
ssl,sweden,2022/2023,Växjö Vipers,Manuel Maurer,24,19,34,53,,8,
ssl,sweden,2022/2023,IBF Falun,Malte Lundmark,24,32,20,52,,4,
ssl,sweden,2022/2023,Mullsjö AIS,Sebastian Palmqvist,26,20,31,51,,14,
ssl,sweden,2022/2023,Storvreta IBK,Andreas Stefansson,25,40,9,49,,6,
ssl,sweden,2022/2023,Mullsjö AIS,Pelle Tarenius,26,34,14,48,,16,
ssl,sweden,2022/2023,Team Thorengruppen SK,Axel Hjälm,24,35,12,47,,4,
ssl,sweden,2022/2023,Storvreta IBK,Filip Eriksson,25,27,20,47,,24,
ssl,sweden,2022/2023,Pixbo IBK,Felix Lanver,25,29,17,46,,8,
ssl,sweden,2022/2023,Pixbo IBK,Oskar Weissbach,22,19,26,45,,0,
ssl,sweden,2022/2023,Hagunda IF,Felix Abrahamsson,26,23,21,44,,8,
ssl,sweden,2022/2023,FBC Kalmarsund,Kim Nilsson,23,22,22,44,,4,
ssl,sweden,2022/2023,IBF Falun,Emil Johansson,23,17,27,44,,10,
ssl,sweden,2022/2023,Växjö Vipers,Jesper Sankell,25,17,27,44,,16,
ssl,sweden,2022/2023,Team Thorengruppen SK,Hampus Öhgren,26,16,28,44,,2,
ssl,sweden,2022/2023,Jönköpings IK,Melker Hemmingberg,26,28,15,43,,2,
ssl,sweden,2022/2023,Gävle GIK,Billy Nilsson,25,18,25,43,,12,
ssl,sweden,2022/2023,IBK Dalen,Alexander Hedlund,24,26,16,42,,8,
ssl,sweden,2022/2023,Pixbo IBK,Gustav Fritzell,25,24,18,42,,6,
ssl,sweden,2022/2023,Linköping IBK,Oskar Seth,26,21,20,41,,4,
ssl,sweden,2022/2023,IBF Falun,Emil Ruud,25,15,26,41,,10,
ssl,sweden,2022/2023,AIK IBF,Liam Åström,24,22,18,40,,32,
ssl,sweden,2022/2023,FC Helsingborg,Linus Malmström,24,21,19,40,,8,
ssl,sweden,2022/2023,Mullsjö AIS,Joel Ingesson,26,29,10,39,,2,
ssl,sweden,2022/2023,Linköping IBK,Martin Karlsson,26,28,11,39,,4,
ssl,sweden,2022/2023,AIK IBF,Markus Eriksson,26,30,8,38,,0,
ssl,sweden,2022/2023,Växjö Vipers,Samuel Folkesson Algman,23,23,15,38,,2,
ssl,sweden,2022/2023,Gävle GIK,Alexander Rudd,23,18,20,38,,4,
ssl,sweden,2022/2023,Jönköpings IK,Oscar Rohlin,26,31,6,37,,2,
ssl,sweden,2022/2023,FBC Kalmarsund,Kevin Haglund,25,22,14,36,,10,
ssl,sweden,2022/2023,Team Thorengruppen SK,Måns Höglin,26,14,22,36,,4,
ssl,sweden,2022/2023,Storvreta IBK,Tobias Gustafsson,26,17,18,35,,2,
ssl,sweden,2022/2023,Hagunda IF,Isak Bengtsson,26,16,19,35,,6,
ssl,sweden,2022/2023,FC Helsingborg,Fredi Petersson,25,25,9,34,,6,
ssl,sweden,2022/2023,Jönköpings IK,Hannes Nyström,25,13,21,34,,2,
ssl,sweden,2022/2023,AIK IBF,Joakim Alvinder,25,13,21,34,,4,
ssl,sweden,2022/2023,IBF Falun,Rasmus Enström,24,17,16,33,,4,
ssl,sweden,2022/2023,Växjö Vipers,Tommy Bolin,26,28,4,32,,4,
ssl,sweden,2022/2023,IBF Falun,Omar Aldeeb,26,13,19,32,,10,
ssl,sweden,2022/2023,Linköping IBK,Kevin Söderling,25,17,14,31,,4,
ssl,sweden,2022/2023,Pixbo IBK,Linus Nestorsson,26,14,17,31,,12,
ssl,sweden,2022/2023,Mullsjö AIS,Oskar Malmgren,26,11,20,31,,6,
ssl,sweden,2022/2023,Gävle GIK,Simon Cederström,26,18,12,30,,6,
ssl,sweden,2022/2023,FC Helsingborg,Christoffer Andersson,25,13,17,30,,2,
ssl,sweden,2022/2023,Jönköpings IK,Emil Jacobsson,26,11,19,30,,16,
ssl,sweden,2022/2023,AIK IBF,Oskar Hagberg,23,19,10,29,,8,
ssl,sweden,2022/2023,FC Helsingborg,Linus Bergström,26,16,13,29,,6,
ssl,sweden,2022/2023,Växjö Vipers,Ludwig Persson,25,14,15,29,,12,
ssl,sweden,2022/2023,FBC Kalmarsund,Filip Langer,26,10,19,29,,8,
ssl,sweden,2022/2023,AIK IBF,Alex Indriana Kjellbris,23,8,21,29,,4,
ssl,sweden,2022/2023,Linköping IBK,Matej Jendrisak,25,14,14,28,,2,
ssl,sweden,2022/2023,Växjö Vipers,André Andersson,23,22,5,27,,0,
ssl,sweden,2022/2023,FBC Kalmarsund,Kevin Björkström,25,15,12,27,,2,
ssl,sweden,2022/2023,Linköping IBK,Oskar Hovlund,25,13,14,27,,26,
ssl,sweden,2022/2023,IBK Dalen,Ketil Kronberg,26,19,7,26,,4,
ssl,sweden,2022/2023,FBC Kalmarsund,Marcus Johansson,18,14,12,26,,6,
ssl,sweden,2022/2023,Hagunda IF,Mattias Jansson,25,14,11,25,,0,
ssl,sweden,2022/2023,Jönköpings IK,Noah Johansson,26,12,12,24,,0,
ssl,sweden,2022/2023,Växjö Vipers,Markus Jonsson,21,7,17,24,,0,
ssl,sweden,2022/2023,Gävle GIK,Alexander Larsson,25,7,17,24,,10,
